hero_inferno,infernus
hero_gigawatt,seven
hero_hornet,vindicta
hero_ghost,ladyGeist
hero_atlas,abrams
hero_wraith,wraith
hero_forge,mcginnis
hero_chrono,paradox
hero_dynamo,dynamo
hero_kelvin,kelvin
hero_haze,haze
hero_astro,holiday
hero_bebop,bebop
hero_nano,calico
hero_orion,greyTalon
hero_krill,moKrill
hero_shiv,shiv
hero_tengu,ivy
hero_warden,warden
hero_yamato,yamato
hero_lash,lash
hero_viscous,viscous
hero_mirage,mirage
hero_viper,viper
hero_magician,sinclair
hero_vampirebat,mina
hero_drifter,drifter
hero_synth,pocket
hero_frank,victor
hero_bookworm,paige
hero_doorman,doorman
hero_punkgoat,billy
hero_necro,graves
hero_familiar,rem
